Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1	Transcription Units	Regulated-By	GO terms (biological process)
EQU24_RS22080	EQU24_RS22080	4986413	4987321	DUF58 domain-containing protein	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065	EQU24_RS22080	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065		
EQU24_RS22075	EQU24_RS22075	4985937	4986413	DUF4381 domain-containing protein	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065	EQU24_RS22075	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065		
EQU24_RS22070	EQU24_RS22070	4984960	4985940	VWA domain-containing protein	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065	EQU24_RS22070	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065		
EQU24_RS22065	EQU24_RS22065	4983179	4984960	VWA domain-containing protein	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065	EQU24_RS22065	EQU24_RS22085 // EQU24_RS22080 // EQU24_RS22075 // EQU24_RS22070 // EQU24_RS22065		
EQU24_RS22060	EQU24_RS22060	4981458	4983125	protein BatD	EQU24_RS22060	EQU24_RS22060	EQU24_RS22060		
EQU24_RS22055	EQU24_RS22055	4980719	4981045	hypothetical protein	EQU24_RS22055	EQU24_RS22055	EQU24_RS22055		
EQU24_RS22050	EQU24_RS22050	4980306	4980677	winged helix-turn-helix transcriptional regulator	EQU24_RS22050	EQU24_RS22050	EQU24_RS22050		
EQU24_RS22045	EQU24_RS22045	4978985	4979710	cyclic nucleotide-binding domain-containing protein	EQU24_RS22045	EQU24_RS22045	EQU24_RS22045		
EQU24_RS22040	EQU24_RS22040	4977630	4978190	thioredoxin family protein	EQU24_RS22040	EQU24_RS22040	EQU24_RS22040		
zwf	EQU24_RS22035	4976071	4977540	glucose-6-phosphate dehydrogenase	zwf	EQU24_RS22035	zwf		
pcp	EQU24_RS22030	4975285	4975914	pyroglutamyl-peptidase I	pcp	EQU24_RS22030	pcp		
EQU24_RS22025	EQU24_RS22025	4974158	4975264	ABC transporter ATP-binding protein	EQU24_RS22025	EQU24_RS22025	EQU24_RS22025		
EQU24_RS22020	EQU24_RS22020	4971924	4973252	ABC transporter permease	EQU24_RS22020 // EQU24_RS22015 // EQU24_RS22010	EQU24_RS22020	EQU24_RS22020 // EQU24_RS22015 // EQU24_RS22010		
EQU24_RS22015	EQU24_RS22015	4970809	4971927	ABC transporter permease	EQU24_RS22020 // EQU24_RS22015 // EQU24_RS22010	EQU24_RS22015	EQU24_RS22020 // EQU24_RS22015 // EQU24_RS22010		
EQU24_RS22010	EQU24_RS22010	4968302	4970812	ABC transporter substrate-binding protein	EQU24_RS22020 // EQU24_RS22015 // EQU24_RS22010	EQU24_RS22010	EQU24_RS22020 // EQU24_RS22015 // EQU24_RS22010		
EQU24_RS22005	EQU24_RS22005	4967905	4967997	biopolymer transporter ExbD	EQU24_RS22005	EQU24_RS22005	EQU24_RS22005		
EQU24_RS22000	EQU24_RS22000	4966927	4967817	carbohydrate kinase	EQU24_RS22000	EQU24_RS22000	EQU24_RS22000		
EQU24_RS21995	EQU24_RS21995	4965768	4966490	ABC transporter ATP-binding protein	EQU24_RS21995 // EQU24_RS21990 // EQU24_RS21985	EQU24_RS21995	EQU24_RS21995 // EQU24_RS21990 // EQU24_RS21985		
EQU24_RS21990	EQU24_RS21990	4963402	4965768	ABC transporter permease	EQU24_RS21995 // EQU24_RS21990 // EQU24_RS21985	EQU24_RS21990	EQU24_RS21995 // EQU24_RS21990 // EQU24_RS21985		
EQU24_RS21985	EQU24_RS21985	4962198	4963397	HlyD family efflux transporter periplasmic adaptor subunit	EQU24_RS21995 // EQU24_RS21990 // EQU24_RS21985	EQU24_RS21985	EQU24_RS21995 // EQU24_RS21990 // EQU24_RS21985		
metG	EQU24_RS21980	4959586	4961604	methionine--tRNA ligase	metG	EQU24_RS21980	metG		
EQU24_RS21975	EQU24_RS21975	4957960	4958871	TIGR01777 family protein	EQU24_RS21975	EQU24_RS21975	EQU24_RS21975		
EQU24_RS21970	EQU24_RS21970	4957467	4957907	hypothetical protein	EQU24_RS21970	EQU24_RS21970	EQU24_RS21970		
hflB	EQU24_RS21965	4955492	4957390	ATP-dependent zinc metalloprotease FtsH	hflB // hflC // hflK	EQU24_RS21965	hflB // hflC // hflK		
hflC	EQU24_RS21960	4954590	4955456	protease modulator HflC	hflB // hflC // hflK	EQU24_RS21960	hflB // hflC // hflK		
hflK	EQU24_RS21955	4953433	4954593	FtsH protease activity modulator HflK	hflB // hflC // hflK	EQU24_RS21955	hflB // hflC // hflK		
EQU24_RS21950	EQU24_RS21950	4951897	4953342	sigma-70 family RNA polymerase sigma factor	EQU24_RS21950	EQU24_RS21950	EQU24_RS21950		
EQU24_RS21945	EQU24_RS21945	4950845	4951759	MerR family transcriptional regulator	EQU24_RS21945	EQU24_RS21945	EQU24_RS21945		
mgtE	EQU24_RS21940	4949035	4950375	magnesium transporter	mgtE	EQU24_RS21940	mgtE		
EQU24_RS21935	EQU24_RS21935	4945810	4948341	alpha-glucan family phosphorylase	EQU24_RS21935	EQU24_RS21935	EQU24_RS21935		
EQU24_RS21930	EQU24_RS21930	4945091	4945762	ribulose-phosphate 3-epimerase	EQU24_RS21930	EQU24_RS21930	EQU24_RS21930		
EQU24_RS21925	EQU24_RS21925	4944772	4944961	hypothetical protein	EQU24_RS21925	EQU24_RS21925	EQU24_RS21925		
EQU24_RS21920	EQU24_RS21920	4944198	4944716	peptidase M4	EQU24_RS21920	EQU24_RS21920	EQU24_RS21920		
EQU24_RS21915	EQU24_RS21915	4943355	4943936	DUF3450 domain-containing protein	EQU24_RS21915 // EQU24_RS21910 // EQU24_RS21905	EQU24_RS21915	EQU24_RS21915 // EQU24_RS21910 // EQU24_RS21905		
EQU24_RS21910	EQU24_RS21910	4942189	4943358	MotA/TolQ/ExbB proton channel family protein	EQU24_RS21915 // EQU24_RS21910 // EQU24_RS21905	EQU24_RS21910	EQU24_RS21915 // EQU24_RS21910 // EQU24_RS21905		
EQU24_RS21905	EQU24_RS21905	4941642	4942169	MotA/TolQ/ExbB proton channel family protein	EQU24_RS21915 // EQU24_RS21910 // EQU24_RS21905	EQU24_RS21905	EQU24_RS21915 // EQU24_RS21910 // EQU24_RS21905		
EQU24_RS21900	EQU24_RS21900	4941040	4941474	biopolymer transporter ExbD	EQU24_RS21900 // EQU24_RS21895	EQU24_RS21900	EQU24_RS21900 // EQU24_RS21895		
EQU24_RS21895	EQU24_RS21895	4940267	4941043	energy transducer TonB	EQU24_RS21900 // EQU24_RS21895	EQU24_RS21895	EQU24_RS21900 // EQU24_RS21895		
EQU24_RS21890	EQU24_RS21890	4939708	4939902	hypothetical protein	EQU24_RS21890	EQU24_RS21890	EQU24_RS21890		
EQU24_RS21885	EQU24_RS21885	4937247	4939529	2OG-Fe(II) oxygenase	EQU24_RS21885	EQU24_RS21885	EQU24_RS21885		
EQU24_RS21880	EQU24_RS21880	4936496	4937116	hypothetical protein	EQU24_RS21880	EQU24_RS21880	EQU24_RS21880		
EQU24_RS21875	EQU24_RS21875	4932881	4936090	type I restriction endonuclease subunit R	EQU24_RS21875	EQU24_RS21875	EQU24_RS21875		
EQU24_RS21870	EQU24_RS21870	4931799	4932107	hypothetical protein	EQU24_RS21870 // EQU24_RS21865 // EQU24_RS21860	EQU24_RS21870	EQU24_RS21870 // EQU24_RS21865 // EQU24_RS21860		
EQU24_RS21865	EQU24_RS21865	4931345	4931812	type II toxin-antitoxin system HicB family antitoxin	EQU24_RS21870 // EQU24_RS21865 // EQU24_RS21860	EQU24_RS21865	EQU24_RS21870 // EQU24_RS21865 // EQU24_RS21860		
EQU24_RS21860	EQU24_RS21860	4931085	4931348	type II toxin-antitoxin system HicA family toxin	EQU24_RS21870 // EQU24_RS21865 // EQU24_RS21860	EQU24_RS21860	EQU24_RS21870 // EQU24_RS21865 // EQU24_RS21860		
EQU24_RS21855	EQU24_RS21855	4930153	4930437	type II toxin-antitoxin system VapC family toxin	EQU24_RS21855	EQU24_RS21855	EQU24_RS21855		
EQU24_RS21850	EQU24_RS21850	4929664	4929864	hypothetical protein	EQU24_RS21850 // EQU24_RS21845 // EQU24_RS21840	EQU24_RS21850	EQU24_RS21850 // EQU24_RS21845 // EQU24_RS21840		
EQU24_RS21845	EQU24_RS21845	4928318	4929628	restriction endonuclease subunit S	EQU24_RS21850 // EQU24_RS21845 // EQU24_RS21840	EQU24_RS21845	EQU24_RS21850 // EQU24_RS21845 // EQU24_RS21840		
EQU24_RS21840	EQU24_RS21840	4926333	4928324	hypothetical protein	EQU24_RS21850 // EQU24_RS21845 // EQU24_RS21840	EQU24_RS21840	EQU24_RS21850 // EQU24_RS21845 // EQU24_RS21840		
EQU24_RS21835	EQU24_RS21835	4924470	4925954	IS4 family transposase	EQU24_RS21835	EQU24_RS21835	EQU24_RS21835		
EQU24_RS21830	EQU24_RS21830	4922555	4924318	DUF262 domain-containing protein	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815	EQU24_RS21830	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815		
EQU24_RS21825	EQU24_RS21825	4921877	4922530	HNH endonuclease	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815	EQU24_RS21825	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815		
EQU24_RS21820	EQU24_RS21820	4921569	4921862	hypothetical protein	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815	EQU24_RS21820	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815		
EQU24_RS21815	EQU24_RS21815	4920553	4921551	hypothetical protein	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815	EQU24_RS21815	EQU24_RS21830 // EQU24_RS21825 // EQU24_RS21820 // EQU24_RS21815		
EQU24_RS21810	EQU24_RS21810	4919809	4920090	XRE family transcriptional regulator	EQU24_RS21810 // EQU24_RS21805	EQU24_RS21810	EQU24_RS21810 // EQU24_RS21805		
EQU24_RS21805	EQU24_RS21805	4919711	4919809	hypothetical protein	EQU24_RS21810 // EQU24_RS21805	EQU24_RS21805	EQU24_RS21810 // EQU24_RS21805		
EQU24_RS21800	EQU24_RS21800	4918899	4919603	transposase	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780	EQU24_RS21800	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780		
EQU24_RS21795	EQU24_RS21795	4915207	4918881	ATP-binding protein	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780	EQU24_RS21795	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780		
EQU24_RS21790	EQU24_RS21790	4914582	4915214	hypothetical protein	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780	EQU24_RS21790	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780		
EQU24_RS21785	EQU24_RS21785	4913359	4914585	hypothetical protein	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780	EQU24_RS21785	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780		
EQU24_RS21780	EQU24_RS21780	4912461	4913354	hypothetical protein	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780	EQU24_RS21780	EQU24_RS21800 // EQU24_RS21795 // EQU24_RS21790 // EQU24_RS21785 // EQU24_RS21780		
EQU24_RS21775	EQU24_RS21775	4910479	4911840	NAD-dependent succinate-semialdehyde dehydrogenase	EQU24_RS21775	EQU24_RS21775	EQU24_RS21775		
EQU24_RS21770	EQU24_RS21770	4909068	4910243	aminopeptidase P family protein	EQU24_RS21770 // EQU24_RS21765	EQU24_RS21770	EQU24_RS21770 // EQU24_RS21765		
EQU24_RS21765	EQU24_RS21765	4907794	4909071	aspartate aminotransferase family protein	EQU24_RS21770 // EQU24_RS21765	EQU24_RS21765	EQU24_RS21770 // EQU24_RS21765		
EQU24_RS21760	EQU24_RS21760	4906514	4907704	amidohydrolase	EQU24_RS21760	EQU24_RS21760	EQU24_RS21760		
EQU24_RS21755	EQU24_RS21755	4905668	4906144	hypothetical protein	EQU24_RS21755	EQU24_RS21755	EQU24_RS21755		
EQU24_RS21750	EQU24_RS21750	4904691	4905464	DUF3450 domain-containing protein	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725	EQU24_RS21750	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725		
EQU24_RS21745	EQU24_RS21745	4903366	4904694	hypothetical protein	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725	EQU24_RS21745	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725		
EQU24_RS21740	EQU24_RS21740	4902842	4903366	MotA/TolQ/ExbB proton channel family protein	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725	EQU24_RS21740	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725		
EQU24_RS21735	EQU24_RS21735	4902415	4902828	biopolymer transporter ExbD	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725	EQU24_RS21735	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725		
EQU24_RS21730	EQU24_RS21730	4901744	4902418	energy transducer TonB	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725	EQU24_RS21730	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725		
EQU24_RS21725	EQU24_RS21725	4900533	4901747	tetratricopeptide repeat protein	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725	EQU24_RS21725	EQU24_RS21750 // EQU24_RS21745 // EQU24_RS21740 // EQU24_RS21735 // EQU24_RS21730 // EQU24_RS21725		
EQU24_RS21720	EQU24_RS21720	4899781	4900290	hypothetical protein	EQU24_RS21720	EQU24_RS21720	EQU24_RS21720		
EQU24_RS21715	EQU24_RS21715	4898889	4899494	peroxiredoxin	EQU24_RS21715	EQU24_RS21715	EQU24_RS21715		
EQU24_RS21710	EQU24_RS21710	4898363	4898659	hypothetical protein	EQU24_RS21710	EQU24_RS21710	EQU24_RS21710		
EQU24_RS21705	EQU24_RS21705	4895951	4898098	AsmA family protein	EQU24_RS21705	EQU24_RS21705	EQU24_RS21705		
EQU24_RS21700	EQU24_RS21700	4895258	4895428	rubredoxin	EQU24_RS21700	EQU24_RS21700	EQU24_RS21700		
EQU24_RS21695	EQU24_RS21695	4894938	4895231	hypothetical protein	EQU24_RS21695	EQU24_RS21695	EQU24_RS21695		
mutY	EQU24_RS21690	4893680	4894723	A/G-specific adenine glycosylase	mutY // EQU24_RS21685	EQU24_RS21690	mutY // EQU24_RS21685		
EQU24_RS21685	EQU24_RS21685	4893405	4893677	oxidative damage protection protein	mutY // EQU24_RS21685	EQU24_RS21685	mutY // EQU24_RS21685		
EQU24_RS21680	EQU24_RS21680	4893013	4893216	hypothetical protein	EQU24_RS21680	EQU24_RS21680	EQU24_RS21680		
EQU24_RS21675	EQU24_RS21675	4892483	4893073	NAD(P)H-dependent oxidoreductase	EQU24_RS21675	EQU24_RS21675	EQU24_RS21675		
EQU24_RS21670	EQU24_RS21670	4891051	4892307	transcription termination factor Rho	EQU24_RS21670	EQU24_RS21670	EQU24_RS21670		
trxA	EQU24_RS21665	4890540	4890866	thioredoxin TrxA	trxA	EQU24_RS21665	trxA		
EQU24_RS21660	EQU24_RS21660	4889130	4890446	DEAD/DEAH box helicase	EQU24_RS21660	EQU24_RS21660	EQU24_RS21660		
EQU24_RS21655	EQU24_RS21655	4888511	4889167	GMP/IMP nucleotidase	EQU24_RS21655	EQU24_RS21655	EQU24_RS21655		
nudE	EQU24_RS21650	4887914	4888462	ADP compounds hydrolase NudE	nudE	EQU24_RS21650	nudE		
EQU24_RS21645	EQU24_RS21645	4886530	4886943	hypothetical protein	EQU24_RS21645	EQU24_RS21645	EQU24_RS21645		
dhaL	EQU24_RS21640	4885826	4886455	dihydroxyacetone kinase subunit L	dhaL	EQU24_RS21640	dhaL		
dhaK	EQU24_RS21635	4884757	4885746	dihydroxyacetone kinase subunit DhaK	dhaK	EQU24_RS21635	dhaK		
EQU24_RS21630	EQU24_RS21630	4883855	4884673	HAD-IIA family hydrolase	EQU24_RS21630	EQU24_RS21630	EQU24_RS21630		
hxlA	EQU24_RS21625	4882315	4883499	3-hexulose-6-phosphate synthase	hxlA	EQU24_RS21625	hxlA		
tkt	EQU24_RS21620	4880131	4882143	transketolase	tkt	EQU24_RS21620	tkt		
EQU24_RS21615	EQU24_RS21615	4878615	4879973	hypothetical protein	EQU24_RS21615	EQU24_RS21615	EQU24_RS21615		
hxlA	EQU24_RS21610	4877126	4878310	3-hexulose-6-phosphate synthase	hxlA	EQU24_RS21610	hxlA		
tkt	EQU24_RS21605	4874942	4876954	transketolase	tkt	EQU24_RS21605	tkt		
EQU24_RS21600	EQU24_RS21600	4873426	4874784	hypothetical protein	EQU24_RS21600	EQU24_RS21600	EQU24_RS21600		
hxlA	EQU24_RS21595	4871937	4873121	3-hexulose-6-phosphate synthase	hxlA	EQU24_RS21595	hxlA		
tkt	EQU24_RS21590	4869753	4871765	transketolase	tkt	EQU24_RS21590	tkt		
EQU24_RS21585	EQU24_RS21585	4868237	4869595	hypothetical protein	EQU24_RS21585	EQU24_RS21585	EQU24_RS21585		
hxlA	EQU24_RS21580	4866748	4867932	3-hexulose-6-phosphate synthase	hxlA	EQU24_RS21580	hxlA		
tkt	EQU24_RS21575	4864564	4866576	transketolase	tkt	EQU24_RS21575	tkt		
EQU24_RS21570	EQU24_RS21570	4863789	4864460	hypothetical protein	EQU24_RS21570	EQU24_RS21570	EQU24_RS21570		
EQU24_RS21565	EQU24_RS21565	4862071	4863057	transaldolase	EQU24_RS21565	EQU24_RS21565	EQU24_RS21565		
fbaA	EQU24_RS21560	4860862	4861941	class II fructose-bisphosphate aldolase	fbaA	EQU24_RS21560	fbaA		
EQU24_RS21555	EQU24_RS21555	4858999	4860735	CoA-disulfide reductase	EQU24_RS21555	EQU24_RS21555	EQU24_RS21555		
EQU24_RS21550	EQU24_RS21550	4856338	4858797	copper-translocating P-type ATPase	EQU24_RS21550	EQU24_RS21550	EQU24_RS21550		
EQU24_RS21545	EQU24_RS21545	4856004	4856279	cupin domain-containing protein	EQU24_RS21545	EQU24_RS21545	EQU24_RS21545		
EQU24_RS21540	EQU24_RS21540	4854939	4855502	DUF2780 domain-containing protein	EQU24_RS21540	EQU24_RS21540	EQU24_RS21540		
EQU24_RS21535	EQU24_RS21535	4854647	4854883	hypothetical protein	EQU24_RS21535	EQU24_RS21535	EQU24_RS21535		
EQU24_RS21530	EQU24_RS21530	4854372	4854581	(2Fe-2S)-binding protein	EQU24_RS21530	EQU24_RS21530	EQU24_RS21530		
EQU24_RS21525	EQU24_RS21525	4852917	4854305	sodium:solute symporter	EQU24_RS21525	EQU24_RS21525	EQU24_RS21525		
EQU24_RS21520	EQU24_RS21520	4851472	4852086	membrane integrity-associated transporter subunit PqiC	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505	EQU24_RS21520	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505		
EQU24_RS21515	EQU24_RS21515	4850457	4851458	MCE family protein	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505	EQU24_RS21515	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505		
EQU24_RS21510	EQU24_RS21510	4849671	4850438	ATP-binding cassette domain-containing protein	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505	EQU24_RS21510	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505		
EQU24_RS21505	EQU24_RS21505	4848488	4849651	ABC transporter permease	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505	EQU24_RS21505	EQU24_RS21520 // EQU24_RS21515 // EQU24_RS21510 // EQU24_RS21505		
EQU24_RS21500	EQU24_RS21500	4847414	4847767	cytochrome C	EQU24_RS21500	EQU24_RS21500	EQU24_RS21500		
EQU24_RS21495	EQU24_RS21495	4846259	4847335	metallophosphoesterase	EQU24_RS21495 // EQU24_RS21490	EQU24_RS21495	EQU24_RS21495 // EQU24_RS21490		
EQU24_RS21490	EQU24_RS21490	4845030	4846244	cytochrome-c peroxidase	EQU24_RS21495 // EQU24_RS21490	EQU24_RS21490	EQU24_RS21495 // EQU24_RS21490		
EQU24_RS21485	EQU24_RS21485	4842682	4844940	EAL domain-containing protein	EQU24_RS21485 // EQU24_RS21480	EQU24_RS21485	EQU24_RS21485 // EQU24_RS21480		
EQU24_RS21480	EQU24_RS21480	4839393	4842668	PAS domain S-box protein	EQU24_RS21485 // EQU24_RS21480	EQU24_RS21480	EQU24_RS21485 // EQU24_RS21480		
EQU24_RS21475	EQU24_RS21475	4837518	4839230	EAL domain-containing response regulator	EQU24_RS21475	EQU24_RS21475	EQU24_RS21475		
EQU24_RS21470	EQU24_RS21470	4836518	4837363	methyltransferase domain-containing protein	EQU24_RS21470 // EQU24_RS21465	EQU24_RS21470	EQU24_RS21470 // EQU24_RS21465		
EQU24_RS21465	EQU24_RS21465	4833888	4836500	methyl-accepting chemotaxis protein	EQU24_RS21470 // EQU24_RS21465	EQU24_RS21465	EQU24_RS21470 // EQU24_RS21465		
EQU24_RS21460	EQU24_RS21460	4832943	4833494	hypothetical protein	EQU24_RS21460 // EQU24_RS21455	EQU24_RS21460	EQU24_RS21460 // EQU24_RS21455		
EQU24_RS21455	EQU24_RS21455	4830984	4832933	hypothetical protein	EQU24_RS21460 // EQU24_RS21455	EQU24_RS21455	EQU24_RS21460 // EQU24_RS21455		
EQU24_RS21450	EQU24_RS21450	4828708	4830891	chemotaxis protein CheA	EQU24_RS21450 // EQU24_RS21445	EQU24_RS21450	EQU24_RS21450 // EQU24_RS21445		
EQU24_RS21445	EQU24_RS21445	4828410	4828703	STAS domain-containing protein	EQU24_RS21450 // EQU24_RS21445	EQU24_RS21445	EQU24_RS21450 // EQU24_RS21445		
EQU24_RS21440	EQU24_RS21440	4827968	4828336	response regulator	EQU24_RS21440 // EQU24_RS21435 // EQU24_RS21430	EQU24_RS21440	EQU24_RS21440 // EQU24_RS21435 // EQU24_RS21430		
EQU24_RS21435	EQU24_RS21435	4826761	4827957	hypothetical protein	EQU24_RS21440 // EQU24_RS21435 // EQU24_RS21430	EQU24_RS21435	EQU24_RS21440 // EQU24_RS21435 // EQU24_RS21430		
EQU24_RS21430	EQU24_RS21430	4826361	4826744	response regulator transcription factor	EQU24_RS21440 // EQU24_RS21435 // EQU24_RS21430	EQU24_RS21430	EQU24_RS21440 // EQU24_RS21435 // EQU24_RS21430		
EQU24_RS21425	EQU24_RS21425	4825434	4826081	response regulator transcription factor	EQU24_RS21425	EQU24_RS21425	EQU24_RS21425		
EQU24_RS21420	EQU24_RS21420	4823930	4825456	PAS domain S-box protein	EQU24_RS21420 // EQU24_RS21415 // EQU24_RS21410	EQU24_RS21420	EQU24_RS21420 // EQU24_RS21415 // EQU24_RS21410		
EQU24_RS21415	EQU24_RS21415	4823496	4823933	response regulator	EQU24_RS21420 // EQU24_RS21415 // EQU24_RS21410	EQU24_RS21415	EQU24_RS21420 // EQU24_RS21415 // EQU24_RS21410		
